prof_id,title,link,snippet,num_cited
0,"Prevalence, characteristics, and outcomes of COVID-19–associated acute myocarditis",https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.121.056817,"Background: Acute myocarditis (AM) is thought to be a rare cardiovascular complication of COVID-19, although minimal data are available beyond case reports. We aim to report the …",71
0,Machine learning of human plasma lipidomes for obesity estimation in a large population cohort,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000443,"Obesity is associated with changes in the plasma lipids. Although simple lipid quantification is routinely used, plasma lipids are rarely investigated at the level of individual molecules. …",52
0,Use of steroid profiling combined with machine learning for identification and subtype classification in primary aldosteronism,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2770981,"… Eisenhofer G, Durán C, Cannistraci CV, et al. Use of Steroid Profiling Combined With Machine … Dr Cannistraci had full access to all data for machine learning and takes responsibility for …",42
0,"Geometrical congruence, greedy navigability and myopic transfer in complex networks and brain connectomes",https://www.nature.com/articles/s41467-022-34634-6,"… by our group in the studies of Muscoloni and Cannistraci 17,18 . The name of this measure is … 1 of Muscoloni and Cannistraci 17 , the introduction of the GRE provides a unique solution …",2
0,Functional annotation of human long noncoding RNAs via molecular phenotyping,https://genome.cshlp.org/content/30/7/1060.short,"Long noncoding RNAs (lncRNAs) constitute the majority of transcripts in the mammalian genomes, and yet, their functions remain largely unknown. As part of the FANTOM6 project, we …",106
0,Age-sex population adjusted analysis of disease severity in epidemics as a tool to devise public health policies for COVID-19,https://www.nature.com/articles/s41598-021-89615-4,"Governments continue to update social intervention strategies to contain COVID-19 infections. However, investigation of COVID-19 severity indicators across the population might help …",33
0,Intrinsic plasticity of silicon nanowire neurotransistors for dynamic memory and learning functions,https://www.nature.com/articles/s41928-020-0412-1,Neuromorphic architectures merge learning and memory functions within a single unit cell and in a neuron-like fashion. Research in the field has been mainly focused on the plasticity …,35
0,Proprotein convertase subtilisin/kexin 9 (PCSK9) promotes macrophage activation via LDL receptor-independent mechanisms,https://www.ahajournals.org/doi/abs/10.1161/CIRCRESAHA.121.320056,… emerges mainly considering missing links between nonadjacent nodes distanced by paths of length 2 (L2) or 3 (L3) 26 following a scheme that can be well described by the Cannistraci-…,5
0,Three-dimensional facial-image analysis to predict heterogeneity of the human ageing rate and the impact of lifestyle,https://www.nature.com/articles/s42255-020-00270-x,"Not all individuals age at the same rate. Methods such as the ‘methylation clock’ are invasive, rely on expensive assays of tissue samples and infer the ageing rate by training on …",26
0,Modular gateway-ness connectivity and structural core organization in maritime network science,https://www.nature.com/articles/s41467-020-16619-5,"Around 80% of global trade by volume is transported by sea, and thus the maritime transportation system is fundamental to the world economy. To better exploit new international …",42
